index,time,SSO_LCI,AE,AH,CH4,CHP,ferric,ng_LCI,A_SSO_WTE,A_SSO_LF,building,concrete,earth,gravel,steel,elec
3282,2019-12-26,178.9891107730261,172.13969469887144,436.7198650417474,0.7493681771812201,21.013189618147074,0.007161477241876005,2192.089336692975,121.71259532565776,57.276515447368354,0.0003981603773584906,7.995754716981133e-5,0.00048169811320754715,0.039056603773584914,0.00532688679245283,7.051886792452831
3283,2019-12-27,169.8666324272942,180.38904370441932,435.2729686970855,0.7611201679104735,22.02019230386164,0.006827321862599025,2068.6552185693295,115.50931005056007,54.357322376734146,0.0003981603773584906,7.995754716981133e-5,0.00048169811320754715,0.039056603773584914,0.00532688679245283,7.051886792452831
3286,2019-12-30,142.49725530689346,142.73691318908652,400.4928167361215,0.6617599026404072,17.423975496169717,0.005824784586473712,1750.2560916131335,96.89813360868756,45.59912169820591,0.0003962910798122066,7.958215962441315e-5,0.00047943661971830984,0.03887323943661972,0.0053018779342723,7.018779342723005
3287,2019-12-31,183.88825634328762,154.86253215379247,413.8603855098388,0.6956465858916204,18.904156642002995,0.007340932405716411,2226.054366311504,125.0440143134356,58.84424202985204,0.00039078703703703704,7.847685185185186e-5,0.00047277777777777775,0.03833333333333334,0.005228240740740741,6.921296296296297
3289,2020-01-02,141.85305227619267,139.87802278561523,402.75180349912307,0.6469958023178698,17.07498913221262,0.005801187500254711,1736.1419990565319,96.46007554781102,45.392976728381655,0.0003944392523364486,7.921028037383179e-5,0.000477196261682243,0.038691588785046735,0.005277102803738318,6.9859813084112155
3290,2020-01-03,143.86992031803425,152.91474373977616,422.4281973394827,0.6882628802120186,18.666389011757378,0.005875065154980908,1775.6871896896107,97.8315458162633,46.03837450177096,0.0004000473933649289,8.033649289099527e-5,0.0004839810426540284,0.039241706161137445,0.005352132701421801,7.085308056872039
3293,2020-01-06,211.42606387382034,53.51052154928885,316.45430758756254,0.42351184091853356,6.5320595452904735,0.00834963926925497,2692.1606157994624,143.76972343419783,67.65634043962251,0.0003944392523364486,7.921028037383179e-5,0.000477196261682243,0.038691588785046735,0.005277102803738318,6.9859813084112155
3294,2020-01-07,160.4328792263223,-18.368904951626877,254.9590922021162,0.24132479875831195,-2.2423025874507183,0.006481764519582579,2161.1509597985914,109.09435787389918,51.33852135242314,0.0003962910798122066,7.958215962441315e-5,0.00047943661971830984,0.03887323943661972,0.0053018779342723,7.018779342723005
3295,2020-01-08,216.32822804817687,-24.63974546752287,260.67659692129814,0.23860846291135493,-3.0077876259608147,0.008529205004231643,2893.830566172967,147.1031950727603,69.2250329754166,0.0003981603773584906,7.995754716981133e-5,0.00048169811320754715,0.039056603773584914,0.00532688679245283,7.051886792452831
3296,2020-01-09,226.96488364190827,8.999195892041424,276.1895383809598,0.3180803808433079,1.0985369180601685,0.008918824529700276,2930.274075203022,154.33612087649763,72.62876276541066,0.0003944392523364486,7.921028037383179e-5,0.000477196261682243,0.038691588785046735,0.005277102803738318,6.9859813084112155
3300,2020-01-13,178.16165261053644,-8.795695442311708,250.64953274720088,0.2542460199692128,-1.0736955033880375,0.00713116754031865,2360.4178653930703,121.14992377516478,57.01172883537166,0.0003962910798122066,7.958215962441315e-5,0.00047943661971830984,0.03887323943661972,0.0053018779342723,7.018779342723005
3301,2020-01-14,179.01098721989837,-16.499018525702404,262.28713127285897,0.2562868761935591,-2.0140444968279523,0.007162278573720795,2401.449802371828,121.7274713095309,57.28351591036748,0.0003981603773584906,7.995754716981133e-5,0.00048169811320754715,0.039056603773584914,0.00532688679245283,7.051886792452831
3302,2020-01-15,178.06762963998435,-16.443324277592634,264.1830003658753,0.25496107150586095,-2.007245868549809,0.00712772348924011,2378.3532165361526,121.08598815518937,56.98164148479499,0.0003962910798122066,7.958215962441315e-5,0.00047943661971830984,0.03887323943661972,0.0053018779342723,7.018779342723005
3303,2020-01-16,177.33798733933855,-15.499361951688519,254.39262668946543,0.24788493736105288,-1.892015855034859,0.007100996771952488,2355.9285533756574,120.58983139075022,56.74815594858834,0.0003944392523364486,7.921028037383179e-5,0.000477196261682243,0.038691588785046735,0.005277102803738318,6.9859813084112155
3304,2020-01-17,177.33798733933855,-3.8446984623354816,267.84510579772694,0.2808544831657757,-0.4693245096953434,0.007100996771952488,2326.7918946522746,120.58983139075022,56.74815594858834,0.0003944392523364486,7.921028037383179e-5,0.000477196261682243,0.038691588785046735,0.005277102803738318,6.9859813084112155
3308,2020-01-21,296.48510733073704,10.336638161385652,278.7490155906888,0.31068880698315887,1.2617992501923254,0.011465342683402428,3818.007143021553,201.6098729849012,94.87523434583585,0.0003962910798122066,7.958215962441315e-5,0.00047943661971830984,0.03887323943661972,0.0053018779342723,7.018779342723005
3309,2020-01-22,211.40602750191866,49.90617690957122,322.8144138777747,0.4240606485362797,6.092075162280906,0.008348905339154136,2721.311347547956,143.7560987013047,67.64992880061398,0.0003981603773584906,7.995754716981133e-5,0.00048169811320754715,0.039056603773584914,0.00532688679245283,7.051886792452831
3310,2020-01-23,213.77854357116357,43.58482953108865,309.0670116028419,0.40179505342394084,5.320424722569153,0.008435810342039694,2744.3393722264796,145.36940962839122,68.40913394277234,0.0003962910798122066,7.958215962441315e-5,0.00047943661971830984,0.03887323943661972,0.0053018779342723,7.018779342723005
3311,2020-01-24,204.892812637678,-9.056538122771498,252.67241788781246,0.25677287850452113,-1.10553671650623,0.008110326994455616,2710.2250077307285,139.32711259362105,65.56570004405695,0.0003981603773584906,7.995754716981133e-5,0.00048169811320754715,0.039056603773584914,0.00532688679245283,7.051886792452831
3314,2020-01-27,192.77440808076892,-27.22316788093547,250.02626690317283,0.22310973315252575,-3.3231474570083477,0.007666431167304606,2566.9925715565428,131.08659749492287,61.68781058584606,0.0003926046511627907,7.884186046511629e-5,0.0004749767441860465,0.03851162790697675,0.005252558139534884,6.953488372093024
3315,2020-01-28,329.15689349595715,25.99174236972806,284.9055105830982,0.34696471736815176,3.1728266503350757,0.012662106620124014,4254.25539894235,223.82668757725088,105.33020591870628,0.0004000473933649289,8.033649289099527e-5,0.0004839810426540284,0.039241706161137445,0.005352132701421801,7.085308056872039
3322,2020-02-04,286.4322964342788,39.62203335189571,295.9162421311369,0.3792763387597901,4.836683957970272,0.011097109325032503,3680.352030913488,194.77396157530958,91.65833485896921,0.0003981603773584906,7.995754716981133e-5,0.00048169811320754715,0.039056603773584914,0.00532688679245283,7.051886792452831
3323,2020-02-05,287.7897954695123,-25.43610503166402,247.4766766780526,0.22380784739599302,-3.104999687099857,0.011146834365508902,3817.4517905215585,195.69706091926838,92.09273455024393,0.0004000473933649289,8.033649289099527e-5,0.0004839810426540284,0.039241706161137445,0.005352132701421801,7.085308056872039
3324,2020-02-06,287.7897954695123,-20.99070965049743,251.81093717469003,0.23413323521288293,-2.562347765731594,0.011146834365508902,3806.3383020686424,195.69706091926838,92.09273455024393,0.0004000473933649289,8.033649289099527e-5,0.0004839810426540284,0.039241706161137445,0.005352132701421801,7.085308056872039
3325,2020-02-07,281.75869187520533,-25.657476507813016,231.21427428180192,0.20381917530803229,-3.132022628046194,0.010925915703645782,3724.010383972623,191.59591047513965,90.16278140006571,0.0003981603773584906,7.995754716981133e-5,0.00048169811320754715,0.039056603773584914,0.00532688679245283,7.051886792452831
3328,2020-02-10,232.42520440936545,-20.897149704330737,245.79680922735176,0.2271756356037327,-2.550926850335506,0.009118835479342845,3045.7254938419437,158.0491389983685,74.37606541099694,0.0003926046511627907,7.884186046511629e-5,0.0004749767441860465,0.03851162790697675,0.005252558139534884,6.953488372093024
3329,2020-02-11,266.9044910795567,-23.38399883197895,246.92088980881198,0.22523242721395378,-2.854497925922746,0.010381807960923792,3514.1342927535666,181.49505393409856,85.40943714545814,0.0003962910798122066,7.958215962441315e-5,0.00047943661971830984,0.03887323943661972,0.0053018779342723,7.018779342723005
3330,2020-02-12,248.00785342953716,-19.46190551965108,241.2994732084487,0.22581221627037606,-2.3757257832383756,0.009689626200475303,3266.4260699445404,168.64534033208528,79.3625130974519,0.0003962910798122066,7.958215962441315e-5,0.00047943661971830984,0.03887323943661972,0.0053018779342723,7.018779342723005
3331,2020-02-13,237.46236730270192,-18.016122680117043,241.82793147216253,0.2286203878070326,-2.1992382565994015,0.009303346202559884,3144.5990303434032,161.47440976583732,75.98795753686461,0.0003981603773584906,7.995754716981133e-5,0.00048169811320754715,0.039056603773584914,0.00532688679245283,7.051886792452831
