index,time,dig_tfeed,dig_PSSO,SSO_mass_kg,AE_raw_MJ,AH_raw_MJ,ng_energy_MJ,steel_raw_const
2628,2018-03-12,176.0,16.515810000000002,65898.0819,99062.5488607595,322521.38513924053,984405.4221835248,0.0011293
2629,2018-03-13,159.0,11.5054,45906.546,94405.92033755276,314596.37232911395,759130.6477417485,0.0011293
2630,2018-03-14,180.0,15.21385,60703.26150000001,88813.67189873419,298989.5301012659,894694.4158450117,0.0011293
2631,2018-03-15,162.0,20.149919999999998,80398.1808,92485.4170464135,315262.4816202532,1.3176097520382516e6,0.0011293
2632,2018-03-16,162.0,20.133080000000003,80330.98920000001,87045.41603375529,309112.28063291137,1.3218015221784445e6,0.0011293
2636,2018-03-20,153.0,13.34129,53231.74710000001,55084.062784810136,275411.36121518986,956219.1944245663,0.0011293
2639,2018-03-23,175.0,34.91139,139296.4461,89851.7400843882,307617.44658227847,2.123840490434687e6,0.0011293
2642,2018-03-26,143.0,22.03398,87915.5802,119552.41721518988,338268.0067848101,1.6090144090674021e6,0.0011293
2643,2018-03-27,145.0,20.32541,81098.38590000001,120008.62379746836,342097.60820253164,1.4597537381835128e6,0.0011293
2644,2018-03-28,155.0,23.0273,91878.927,122774.19139240508,343101.6366075949,1.546805454320819e6,0.0011293
2646,2018-03-30,141.0,24.39702,97344.1098,96684.14616033755,315125.2425063291,1.8340122035782284e6,0.0011293
2649,2018-04-02,151.0,16.81009,67072.25910000001,89296.47088607596,311307.05911392404,1.1810128792219139e6,0.0011293
2651,2018-04-04,162.0,21.704369999999997,86600.4363,105591.57434599158,325502.3849873418,1.4074979494045435e6,0.0011293
2652,2018-04-05,158.0,21.8863,87326.337,103742.96270042195,320315.1886329114,1.4579118046600337e6,0.0011293
2653,2018-04-06,153.0,25.38337,101279.64630000001,103988.61569620253,319708.5003037975,1.7506649314466189e6,0.0011293
2658,2018-04-11,166.0,25.12618,100253.45820000001,98620.50632911392,307704.9936708861,1.6003067558440205e6,0.0011293
2659,2018-04-12,175.0,26.083380000000002,104072.68620000001,103661.44978902955,325312.9135443038,1.5706260483686007e6,0.0011293
2660,2018-04-13,163.0,25.79393,102917.7807,120660.6842194093,336809.96711392404,1.652456983369141e6,0.0011293
2666,2018-04-19,164.0,25.019779999999997,99828.9222,104850.65113924052,329010.9848607595,1.6070409083607204e6,0.0011293
2667,2018-04-20,165.0,23.59396,94139.9004,104357.65232067512,325991.71101265826,1.505169805107906e6,0.0011293
2670,2018-04-23,143.0,19.15341,76422.10590000001,85562.45535864978,301742.9939746836,1.426623366191736e6,0.0011293
2671,2018-04-24,149.0,21.264740000000003,84846.3126,100534.77400843882,314648.6046582279,1.5059298840973768e6,0.0011293
2672,2018-04-25,136.0,22.87117,91255.9683,93198.05502109705,299033.3036455696,1.7854309172523012e6,0.0011293
2673,2018-04-26,157.0,34.36595,137120.1405,113365.25738396624,343236.12594936707,2.308463067646891e6,0.0011293
2674,2018-04-27,158.0,35.906949999999995,143268.7305,135858.83476793248,357551.56389873417,2.3760637513649445e6,0.0011293
2677,2018-04-30,164.0,21.92293,87472.49070000001,126044.07189873418,352213.17010126583,1.3843341477404847e6,0.0011293
2678,2018-05-01,142.0,23.054479999999998,91987.37520000001,113583.73940928269,344295.34592405066,1.7033379957407685e6,0.0011293
2679,2018-05-02,162.0,26.065549999999998,104001.5445,100106.27409282702,333693.41724050633,1.7008888087171442e6,0.0011293
2680,2018-05-03,153.0,26.526889999999998,105842.2911,95316.64067510549,318022.9246582278,1.8390888367623175e6,0.0011293
2681,2018-05-04,149.0,26.21698,104605.75020000001,101777.73873417723,325168.6952658228,1.8603356195711275e6,0.0011293
2684,2018-05-07,153.0,22.17188,88465.8012,99894.0276793249,325024.47698734177,1.530070986048648e6,0.0011293
2685,2018-05-08,167.0,27.51541,109786.4859,126291.417721519,355839.13227848103,1.7167066860192353e6,0.0011293
2686,2018-05-09,179.0,28.589869999999998,114073.5813,118014.53603375527,344384.3726329114,1.6708186299857264e6,0.0011293
2687,2018-05-10,171.0,26.42,105415.8,18277.57704641351,249679.43762025316,1.7122420948444568e6,0.0011293
2688,2018-05-11,154.0,26.42,105415.8,15722.027341772155,228571.37665822785,1.8972211066683133e6,0.0011293
2692,2018-05-15,157.0,26.03,103859.70000000001,6574.603206751064,221345.03812658228,1.8444858881191514e6,0.0011293
2693,2018-05-16,157.0,26.02,103819.8,9251.308016877641,220570.0253164557,1.8411945972406154e6,0.0011293
2694,2018-05-17,153.0,26.02,103819.8,9312.421265822783,234168.8107341772,1.8874950797418358e6,0.0011293
2695,2018-05-18,171.0,26.03,103859.70000000001,15485.417046413499,240187.48162025318,1.6905618363083177e6,0.0011293
2699,2018-05-22,156.0,24.77,98832.3,10631.24185654009,237147.0608101266,1.7654822560283558e6,0.0011293
2702,2018-05-25,177.0,19.67,78483.3,23417.04742616034,235227.82124050634,1.2431572261799113e6,0.0011293
2706,2018-05-29,164.0,16.84,67191.6,15464.481687763728,234243.66964556964,1.1605312113416705e6,0.0011293
2707,2018-05-30,157.0,18.03,71939.7,13969.62835443038,231939.98764556964,1.2920727876702524e6,0.0011293
2708,2018-05-31,156.0,21.69,86543.1,15723.720168776374,232804.02716455696,1.54926842064214e6,0.0011293
2709,2018-06-01,191.0,20.13,80318.7,407.2216033755324,252564.64106329114,1.204205231073563e6,0.0011293
2713,2018-06-05,168.0,23.32,93046.8,22196.71088607595,234884.19311392406,1.5405077107568753e6,0.0011293
2714,2018-06-06,168.0,28.8,114912.0,27046.921856540088,239613.1488101266,1.8847897750473234e6,0.0011293
2715,2018-06-07,185.0,28.8,114912.0,15302.034430379761,234085.28356962025,1.727691232253243e6,0.0011293
2716,2018-06-08,184.0,26.23,104657.70000000001,16297.65333333333,240979.412,1.5863274405474646e6,0.0011293
2719,2018-06-11,202.0,0.0,0.0,18788.168438818568,215483.0642278481,58623.56042968614,0.0011293
2720,2018-06-12,207.0,0.0,0.0,24428.523206751062,235367.81012658228,53124.21453095196,0.0011293
2721,2018-06-13,209.0,0.0,0.0,37696.01350210971,231379.61316455697,40188.41149297728,0.0011293
2722,2018-06-14,207.0,7.88,31441.2,31001.690801687768,244315.24853164557,454024.1217614255,0.0011293
2723,2018-06-15,174.0,7.13,28448.7,15509.780928270051,219902.4364050633,500257.9446464739,0.0011293
2726,2018-06-18,161.0,0.01,39.900000000000006,4478.645738396625,212531.87959493673,73239.91698259751,0.0011293
2727,2018-06-19,178.0,19.51,77844.90000000001,3559.418396624484,222636.23293670887,1.2462207510641427e6,0.0011293
2728,2018-06-20,215.0,18.03,71939.7,16764.6383122363,225356.9223544304,957870.5983652023,0.0011293
2729,2018-06-21,214.0,18.02,71899.8,49012.486751054865,186563.9745822785,930121.8340669902,0.0011293
2730,2018-06-22,211.0,18.02,71899.8,26480.33856540085,238214.53010126585,964900.6356663689,0.0011293
2733,2018-06-25,197.0,14.86,59291.4,20156.78818565401,226971.86848101267,864376.3316704949,0.0011293
2734,2018-06-26,198.0,0.0,0.0,30088.699071729963,246809.8815949367,47605.54306259753,0.0011293
2735,2018-06-27,177.0,0.0,0.0,41912.82801687764,253261.20731645572,36077.01734107854,0.0011293
2736,2018-06-28,168.0,22.18,88498.20000000001,40907.00928270043,255665.33405063293,1.4496606875601697e6,0.0011293
2740,2018-07-02,218.0,30.44,121455.6,-1098.367257383959,235018.89192405064,1.5737065888618429e6,0.0011293
2741,2018-07-03,220.0,41.51,165624.90000000002,18875.87409282702,237569.77724050634,2.077359522085663e6,0.0011293
2743,2018-07-05,226.0,19.02,75889.8,18003.63881856541,237565.54784810127,959859.9037396573,0.0011293
2744,2018-07-06,226.0,21.09,84149.1,2547.942616033765,222496.24405063293,1.0729300410673867e6,0.0011293
2747,2018-07-09,240.0,19.04,75969.6,3843.5564556962076,225451.8675443038,922030.1181318583,0.0011293
2748,2018-07-10,221.0,18.76,74852.40000000001,16893.721856540094,200096.7788101266,968726.9554813935,0.0011293
2749,2018-07-11,224.0,16.76,66872.40000000001,-22677.79578059071,197901.14911392407,934196.4632389746,0.0011293
2755,2018-07-17,219.0,15.32,61126.8,28075.36877637132,247385.48455696204,798052.5273692138,0.0011293
2757,2018-07-19,211.0,27.43,109445.70000000001,151225.66818565404,370841.8264810126,1.320446026736458e6,0.0011293
2758,2018-07-20,207.0,27.95,111520.5,-579.3117299578033,221985.77106329115,1.5230958167379182e6,0.0011293
2761,2018-07-23,220.0,16.59,66194.1,153424.65248945146,370447.2361772152,734200.6942079185,0.0011293
2762,2018-07-24,162.0,21.07,84069.3,-51780.75443037975,165294.76443037976,1.5980034089176175e6,0.0011293
2763,2018-07-25,219.0,21.06,84029.40000000001,54169.95679324896,263519.5078734177,1.0530475159928366e6,0.0011293
2764,2018-07-26,198.0,21.07,84069.3,48127.694514767936,271167.50215189875,1.1686071119290178e6,0.0011293
2765,2018-07-27,221.0,16.04,63999.600000000006,47413.94227848102,273010.19372151897,807282.2585761606,0.0011293
2768,2018-07-30,214.0,13.96,55700.4,50673.08725738397,266879.6600759494,725510.1872522073,0.0011293
2770,2018-08-01,216.0,17.77,70902.3,-89376.26970464135,138793.5370379747,1.1806235905683567e6,0.0011293
2771,2018-08-02,217.0,20.07,80079.3,-87683.86970464134,136212.6270379747,1.2857421634068342e6,0.0011293
2772,2018-08-03,213.0,20.07,80079.3,-87006.90970464134,135180.2630379747,1.302633621894866e6,0.0011293
2777,2018-08-08,213.0,20.07,80079.3,-89714.74970464135,139309.7190379747,1.309403221894866e6,0.0011293
2783,2018-08-14,208.0,26.87,107211.3,-89426.64742616034,140436.81875949365,1.6827127999317178e6,0.0011293
2785,2018-08-16,214.0,12.08,48199.200000000004,51426.4388185654,282845.7778481013,630779.1139914615,0.0011293
2786,2018-08-17,213.0,12.77,50952.3,52135.6482700422,292845.45706329116,667583.9133042607,0.0011293
2790,2018-08-21,212.0,14.8,59052.0,56266.44995780591,296872.98870886076,769035.9958429788,0.0011293
2791,2018-08-22,212.0,19.45,77605.5,66995.89738396625,303949.3999493671,993259.5807854809,0.0011293
2792,2018-08-23,209.0,28.97,115590.3,76613.11358649789,314172.38574683544,1.4853430006840285e6,0.0011293
2800,2018-08-31,211.0,23.07,92049.3,92431.65367088607,308440.4623291139,1.1566787667351915e6,0.0011293
2805,2018-09-05,189.0,23.99,95720.1,74098.32033755274,290565.4623291139,1.3628104152853952e6,0.0011293
2806,2018-09-06,189.0,26.09,104099.1,70775.21215189874,299172.23184810125,1.484934978121958e6,0.0011293
2811,2018-09-11,206.0,21.01,83829.90000000001,75987.68843881859,293253.7962278481,1.09411015576517e6,0.0011293
2812,2018-09-12,207.0,23.09,92129.1,82583.48421940929,312377.6971139241,1.189920454539111e6,0.0011293
2813,2018-09-13,200.0,24.52,97834.8,99474.03476793249,330538.3838987342,1.29172677076994e6,0.0011293
2817,2018-09-17,225.0,25.08,100069.20000000001,79301.1324894515,318485.6041772152,1.192273049071198e6,0.0011293
2818,2018-09-18,213.0,25.09,100109.1,90717.16118143461,325385.23215189873,1.2488362784777845e6,0.0011293
2819,2018-09-19,198.0,25.09,100109.1,114608.80067510549,343602.38065822783,1.3210224970905576e6,0.0011293
2820,2018-09-20,217.0,25.08,100069.20000000001,96739.02379746836,336333.74820253166,1.2192397549478493e6,0.0011293
2824,2018-09-24,213.0,25.08,100069.20000000001,89787.19831223629,320247.5183544304,1.2492406632653e6,0.0011293
2827,2018-09-27,215.0,25.08,100069.20000000001,122398.3405907173,354581.9820759494,1.2057253469208768e6,0.0011293
2831,2018-10-01,215.0,21.03,83909.70000000001,106836.23189873419,340255.12610126584,1.0193476492044069e6,0.0011293
2833,2018-10-03,199.0,26.31,104976.90000000001,109029.55915611815,337316.4201772152,1.3852446575692997e6,0.0011293
2839,2018-10-09,207.0,27.08,108049.20000000001,109546.9218565401,320050.6488101266,1.3698699220162323e6,0.0011293
2842,2018-10-12,205.0,28.5,113715.0,122476.46784810128,341118.9561518987,1.4450339343202014e6,0.0011293
2845,2018-10-15,210.0,18.69,74573.1,74722.63122362869,297097.565443038,956352.5633824527,0.0011293
2846,2018-10-16,209.0,22.86,91211.40000000001,79148.88506329116,309028.9629367089,1.1700734735309156e6,0.0011293
2847,2018-10-17,207.0,27.08,108049.20000000001,99942.13400843884,329302.38065822783,1.379234590168131e6,0.0011293
2848,2018-10-18,208.0,27.08,108049.20000000001,100094.96000000002,328605.186,1.3723560841236245e6,0.0011293
2849,2018-10-19,205.0,21.26,84827.40000000001,86861.45485232068,313163.9184810127,1.101879736464861e6,0.0011293
2854,2018-10-24,192.0,27.07,108009.3,115741.96725738396,346399.6180759494,1.4726268679244323e6,0.0011293
2856,2018-10-26,209.0,27.07,108009.3,100186.0941772152,324463.0418227848,1.3650901817717196e6,0.0011293
2861,2018-10-31,215.0,22.88,91291.20000000001,114539.75898734177,333380.6650126582,1.1039031039544055e6,0.0011293
2866,2018-11-05,215.0,35.98,143560.2,101963.9713080169,315195.87202531646,1.7680940953007871e6,0.0011293
2867,2018-11-06,214.0,32.86,131111.4,97795.79881856541,322132.50384810125,1.6245309151473017e6,0.0011293
2870,2018-11-09,211.0,28.64,114273.6,113380.53569620254,346635.82230379747,1.4187029720204002e6,0.0011293
2874,2018-11-13,207.0,28.05,111919.5,112920.36489451479,344494.7557721519,1.4167190743519827e6,0.0011293
2877,2018-11-16,211.0,40.93,163310.7,115678.00405063292,348875.85394936707,2.0396770694671243e6,0.0011293
2882,2018-11-21,220.0,28.04,111879.6,117146.26497890295,342691.6083544304,1.3264380792688597e6,0.0011293
2887,2018-11-26,207.0,17.74,70782.6,89303.82075949368,318083.8252405063,906832.366368097,0.0011293
