Date,In1_mean,Out1_mean,In2_mean,Out2_mean,In4_mean,Out4_mean,In3_mean,Out3_mean
2021-10-07,24.380787037037038,25.183912037037036,23.93252314814815,25.710648148148152,36.12222222222224,37.97372685185186,36.36354166666667,38.65868055555558
2021-10-08,24.605671296296304,25.30798611111111,24.19004629629629,25.98460648148149,36.12222222222224,38.04386574074073,36.207638888888894,39.23773148148148
2021-10-09,24.280787037037033,24.510648148148146,23.804398148148152,25.444328703703704,36.12222222222224,38.01018518518518,36.1332175925926,39.965856481481474
2021-10-10,23.904745370370378,24.196412037037046,23.400462962962962,25.082870370370376,36.12222222222224,38.12916666666667,36.14560185185184,39.235532407407405
2021-10-11,25.154745370370367,25.12824074074074,24.60960648148148,25.902662037037032,36.12222222222224,38.02870370370369,36.15636574074073,39.31099537037037
2021-10-12,25.45034722222222,25.676851851851854,24.925231481481475,26.457291666666674,36.12222222222224,38.08784722222223,36.195486111111116,39.44178240740742
2021-10-13,25.26284722222222,26.159953703703696,24.79976851851852,26.850810185185185,36.12222222222224,38.01018518518521,36.20115740740742,38.8888888888889
2021-10-14,25.889120370370367,26.264583333333338,25.426851851851854,27.03344907407407,36.12222222222224,37.962615740740745,36.229745370370374,38.578240740740746
2021-10-15,27.16435185185185,27.510648148148153,26.866435185185193,28.109837962962956,36.12222222222224,37.93101851851852,36.557060185185186,37.93368055555556
2021-10-16,28.75185185185185,29.04085648148148,28.5542824074074,29.48807870370371,36.12222222222224,38.112037037037034,36.28773148148148,37.61180555555554
2021-10-17,26.52245370370369,27.204398148148147,26.77164351851852,27.94641203703704,36.12222222222224,38.24988425925925,36.115509259259255,38.38900462962962
2021-10-18,24.436805555555555,25.415624999999995,24.755092592592593,26.41631944444444,36.12222222222224,37.92141203703704,36.112037037037034,37.83726851851853
2021-10-19,23.479976851851855,24.41226851851852,23.65509259259259,25.50625000000001,36.12222222222224,37.820833333333326,36.11817129629629,38.93067129629629
2021-10-20,24.575231481481477,25.157754629629633,24.55960648148148,25.827083333333334,36.12222222222224,37.993634259259274,35.9877314814815,39.589120370370374
2021-10-21,25.456712962962964,26.186226851851842,25.25671296296296,26.698958333333337,36.12222222222224,38.17997685185187,36.08993055555555,39.942129629629626
2021-10-22,24.527777777777782,25.878125,24.070833333333322,26.35405092592592,36.11550925925925,37.963194444444454,36.10636574074074,39.74085648148147
2021-10-23,22.078472222222217,24.40601851851852,21.81145833333333,25.10243055555556,36.11111111111109,38.10057870370371,35.938541666666666,41.34687500000001
2021-10-24,20.486574074074074,23.490393518518516,20.02534722222222,24.09189814814815,36.11111111111109,38.14791666666666,36.00694444444444,40.68148148148148
2021-10-25,20.499074074074084,23.350462962962965,20.019328703703703,23.924884259259255,36.11111111111109,38.39988425925925,36.842245370370364,38.58148148148148
2021-10-26,21.0912037037037,22.5675925925926,20.708449074074064,23.24675925925926,36.11111111111109,38.82384259259258,36.31828703703704,37.52314814814814
2021-10-27,20.303703703703707,21.56504629629629,20.042245370370367,22.178819444444443,36.11111111111109,38.59988425925925,36.1042824074074,39.07361111111111
2021-10-28,21.272222222222226,23.165393518518524,20.88414351851852,23.505092592592586,36.11111111111109,38.54108796296296,36.11157407407407,39.01099537037035
2021-10-29,23.3587962962963,25.262500000000003,23.502662037037037,25.754513888888894,36.11111111111109,38.24861111111111,36.12511574074075,38.7752314814815
2021-10-30,24.782754629629625,25.9587962962963,24.77835648148148,26.53414351851851,36.11111111111109,38.41967592592592,36.03101851851852,39.84386574074074
