index,date,S_t,partition,SSO_LCI,AE,AH,CH4,ng_LCI,building,Eutrophication Potential - EP_FU,Cumulative Energy Demand - CED_FU,Particulate Matter Formation Potentia - PMFP_FU,Fossil Depletion Potential - FDP_FU,Water Use_FU,Global Climate Change Potential - GCCP_FU,Acidification Potential - AP_FU,Smog Formation Potential - SFP_FU
2590,2018-02-02,647.30511,train,109.28235867008682,147.61701938435823,473.3576407209307,0.7065166876768321,1688.6942837762247,0.000493625730994152,0.01156738831801055,-211.71386425627168,0.009705123921160876,15.08721382715886,-0.11815464847459184,36.89630672656323,0.09107905487012712,-1.5602803366756148
2593,2018-02-05,590.52396,train,207.16888100526862,104.69670570004503,468.91825594633207,0.6358189913090476,3589.4031158451107,0.0005410897435897436,0.033359918271668294,2558.054891238338,0.03692363301930774,73.41023443452724,0.011507419395641358,174.4203012250628,0.40959886044819355,2.1502096272322846
2595,2018-02-07,757.082,train,265.61984038717077,123.26163778478944,411.90305419485526,0.6067847811651196,3542.8883930742795,0.00042205,0.031644536814214225,2294.462559575934,0.036011254459123676,70.00059777587485,0.018324509465113242,160.7425235398175,0.39601971148083315,1.6629476060673352
2597,2018-02-09,598.09478,train,230.88965932790785,179.1244854984948,531.1825063130706,0.8136096009490715,3872.701957759277,0.0005342405063291139,0.0327826004518576,1939.6957025396528,0.036293949900861606,69.78790979216235,-0.0770995001861888,162.58300499022235,0.39213876187688246,0.6936549727627449
2601,2018-02-13,552.66986,train,88.07789880200814,141.39710149368346,534.4204375099212,0.7586880361723598,1619.0978494847436,0.0005781506849315068,0.01123298034792419,-267.443444781323,0.008397279685060367,12.723782013645284,-0.12053241084832689,34.27009262516542,0.07705274541180927,-1.5544467287943493
2602,2018-02-14,541.31363,train,72.58595058838625,79.077998922342,478.85224815703293,0.6063489644590361,1426.205680070143,0.0005902797202797202,0.012269054074172161,307.13219275895153,0.0095629207773275,17.058453481773714,-0.04323708789742256,47.02301600064992,0.09898876050268675,-0.2651620560290863
2603,2018-02-15,473.17625000000004,train,147.1136750840728,94.0167770287735,553.0580694651775,0.7044532564165313,3226.948481602924,0.00067528,0.030388410095613896,2203.821927703078,0.03173342017339179,63.397951399329166,-0.00849620922244379,156.21094494631933,0.3518036962789245,1.8444157858054457
2604,2018-02-16,367.18477,train,223.8611067664925,124.54233677148547,713.7011648131073,0.914033726006911,6276.851919032607,0.0008702061855670103,0.061012479373146855,5351.957043910389,0.06864796528450728,141.23530390380014,0.013655552158699333,342.7937615594461,0.7724522092184675,5.273784555388394
2608,2018-02-20,484.53248,train,178.87243224644098,110.40944254688198,542.5092183445406,0.7190696150392252,3798.5330469310434,0.000659453125,0.03565776809778024,2697.1136863458237,0.03860681807421989,77.34925222753895,-0.009909070597555122,187.14546171344503,0.42851834361572483,2.2648010908234646
2609,2018-02-21,367.18477,val,239.92467416336467,160.6829898382405,753.5474251832394,1.010087978381479,6685.698891572191,0.0008702061855670103,0.06347895696111884,5367.54822828416,0.07179660958866707,146.88937578333633,-0.02544806797030813,354.9156871126788,0.8037440507587,4.936085178150587
