index,time,Eutrophication Potential - EP,Cumulative Energy Demand - CED,Particulate Matter Formation Potentia - PMFP,Fossil Depletion Potential - FDP,Water Use,Global Climate Change Potential - GCCP,Acidification Potential - AP,Smog Formation Potential - SFP
3272,2019-12-16,0.015622819236826816,271.3755027577123,0.015913547464549385,27.29849102864774,-0.08650545081115311,62.20134245683298,0.16120661724703458,-1.0441864173188105
3273,2019-12-17,0.012930806005281188,-265.4823558444972,0.012613837298740388,19.40893953762524,-0.13344320617864192,41.89657607894034,0.11893533417153107,-1.9920953838571158
3274,2019-12-18,0.015257765892530754,153.09223229931487,0.015414092227092443,25.976656068668284,-0.1005925431112823,58.64459282664523,0.15412472317517922,-1.2811449344021286
3275,2019-12-19,0.015628537785171637,225.38833166122737,0.015923693978173992,27.127060179885767,-0.093717525684221,61.36309483855482,0.1604686314033622,-1.159130870460362
3276,2019-12-20,0.015486509524696022,162.81083517146988,0.015726280934412782,26.536860134099467,-0.10161820025428472,60.00681096496461,0.15738072357078697,-1.2914969628870365
3279,2019-12-23,0.01578908670037436,202.81294983168925,0.0160914521779416,27.33275723385453,-0.09955563026655623,61.486851271951046,0.1617039985978557,-1.2350510841266773
3280,2019-12-24,0.014533839142497425,-78.70835675171668,0.01452156048880085,23.48446830813127,-0.12658165064242616,51.631654214703666,0.1411117998690477,-1.7514592956897848
3282,2019-12-26,0.015340632871014951,96.47710456088606,0.01552409847876113,25.920110536680006,-0.10991703207090249,58.280666284517096,0.15417753291719621,-1.432516964304692
3283,2019-12-27,0.013767914372919918,-143.00172367377482,0.01352454202894789,21.542678045536793,-0.1275921532867816,47.785687270224855,0.13011408323401197,-1.7987127102840652
3286,2019-12-30,0.012234028857770389,-31.064739177669537,0.011571118070487005,18.726593279437157,-0.09316241371314651,43.10367991541093,0.11290876802685236,-1.3047371989427745
3287,2019-12-31,0.01651012361481557,363.4338945372369,0.01708295713722021,29.64507180783081,-0.08273417032518529,67.12331992402419,0.17441129045128,-0.9476067916236945
3289,2020-01-02,0.012154690579082547,-17.488874207622274,0.011488372362413686,18.630345096141536,-0.08968819683290069,42.77585217443052,0.11234420441157177,-1.2610133714130782
3290,2020-01-03,0.011921539616964762,-146.01712810415435,0.011139217633123841,17.511172994872123,-0.1063996707652165,39.90909981323831,0.10655430027525603,-1.5391391611367942
